specobjid,plate,mjd,fiberid,obj_class,redshift,snMedian
1443445783180371968,1282,52759,153,GALAXY,0.1785173,17.48102
4740283890236938240,4210,55444,892,GALAXY,0.3920953,6.381782
5298541957043476480,4706,55705,207,GALAXY,0.1597411,7.410081
1856748637191694336,1649,53149,508,GALAXY,0.1084735,12.35966
3727892332759064576,3311,54943,137,STAR,-0.0006207302,16.07501
8620019002515937280,7656,57338,470,GALAXY,0.3021411,7.742413
9460041771440691200,8402,57843,839,STAR,-0.0005174513,8.646862
2322839591188457472,2063,53359,393,STAR,-0.0001235288,18.21333
4707622351621347328,4181,55685,854,STAR,-1.344659e-05,22.99294
8194413714461710336,7278,57041,415,GALAXY,0.142509,8.807683
1656343397113292800,1471,52883,526,STAR,-0.0003515446,15.84538
1558390933844682752,1384,53121,529,GALAXY,0.1545748,11.25959
5787355417014458368,5140,55836,836,GALAXY,0.04321509,20.3864
7053987046688577536,6265,56248,815,GALAXY,0.1644367,16.94553
4144672390784505856,3681,55243,854,STAR,-0.000173056,6.651731
9197579536845527040,8169,57071,375,STAR,-2.815046e-05,5.752902
2293608251389929472,2037,53446,546,GALAXY,0.03574786,5.449036
9564546222418843648,8495,57481,96,QSO,2.429466,11.9633
8390367022530451456,7452,56745,585,STAR,0.000287938,27.29613
8068237326105729024,7166,56602,140,STAR,0.0001680123,24.7805
5867089804022536192,5211,56002,92,GALAXY,0.3163046,9.360969
1347855065368520704,1197,52668,556,GALAXY,0.06407411,23.43749
9929397440221566976,8819,57450,313,QSO,2.000493,11.57872
9199889336971319296,8171,57135,586,QSO,0.5129262,5.55238
1876966736595544064,1667,53430,333,QSO,1.931885,12.62768
1518887674646128640,1349,52797,177,STAR,-5.247396e-05,29.12081
1206972990814709760,1072,52643,30,STAR,-1.23e-05,5.259536
2311519295806400512,2053,53446,170,STAR,9.166852e-05,19.15093
2823869456436979712,2508,53875,409,GALAXY,0.1918369,8.251003
4612949174786480128,4097,55506,499,GALAXY,0.2958045,8.572162
4590393241065773056,4077,55361,361,GALAXY,0.1353663,26.65915
7114684764888782848,6319,56452,448,GALAXY,0.239841,12.65061
8230493358054987776,7310,56693,600,STAR,-7.286359e-05,12.50407
1633766579030222848,1451,53117,312,GALAXY,0.1271295,14.43727
2550237292795029504,2265,53674,269,GALAXY,0.2196227,16.57729
532605389003319296,473,51929,199,GALAXY,0.2482227,12.57103
4547740441060333568,4039,55648,839,GALAXY,0.2444472,12.34051
10492410350632458240,9319,58043,542,QSO,1.430354,23.15874
2614451796403316736,2322,53727,408,STAR,-0.0003522264,18.20501
377301296916490240,335,52000,454,GALAXY,0.1367466,13.43893
1905084823051986944,1692,53473,226,GALAXY,0.2132376,8.178711
1061889128515266560,943,52376,602,GALAXY,0.1391454,8.62013
4840429614743705600,4299,55827,676,STAR,0.0001339168,6.193928
6064211898018322432,5386,56008,418,GALAXY,0.3593215,5.51688
736342698247612416,654,52146,15,GALAXY,0.02096969,11.33854
2873379378224457728,2552,54632,301,STAR,-0.0006388853,50.83942
958311559765977088,851,52376,621,GALAXY,0.1348043,11.81122
6435868554902657024,5716,56684,817,GALAXY,0.2956944,7.328616
1866790753292806144,1658,53240,177,GALAXY,0.03454277,22.94064
1696857666581719040,1507,53763,460,STAR,-0.0005899082,25.48814
314207196277663744,279,51984,295,GALAXY,0.06380687,13.20719
2550182317213640704,2265,53674,69,GALAXY,0.1138873,11.00604
2191131293545162752,1946,53432,473,GALAXY,0.2415327,8.332962
3256251590784346112,2892,54552,542,STAR,5.462785e-05,54.64223
2796788214680020992,2484,54144,192,GALAXY,0.1923362,10.59693
14104416288798693376,12527,58930,975,STAR,4.796058e-05,31.59382
1028009327929092096,913,52433,228,GALAXY,0.1503328,11.64374
6000132909067163648,5329,55946,772,QSO,2.791336,6.345753
3159448385920985088,2806,54425,630,STAR,9.404914e-07,37.7945
2064974447844026368,1834,54562,269,GALAXY,0.03609253,40.91618
6423424548956559360,5705,56194,602,STAR,-0.0005538295,7.542835
11520341850314790912,10232,58223,487,QSO,2.986343,10.59851
6766835563788261376,6010,56097,644,QSO,0.7295977,7.049152
2353282870883149824,2090,53463,553,GALAXY,0.04293808,35.50952
1183369771765229568,1051,52468,178,GALAXY,0.06306016,21.44518
2353143507784329216,2090,53463,46,GALAXY,0.08284957,19.1523
2036926992812632064,1809,53792,633,GALAXY,0.1065747,16.68353
4806587740899792896,4269,55502,440,QSO,2.665644,6.286716
3552234078315061248,3155,54829,72,STAR,-6.357466e-05,50.38804
7351257887136831488,6529,56535,936,GALAXY,0.3531844,7.650651
2069418380594538496,1838,53467,52,GALAXY,0.1359831,9.227948
6784924728652224512,6026,56071,916,STAR,-0.0003828601,17.38051
943663316138485760,838,52378,579,GALAXY,0.03153139,32.03341
3918270298146840576,3480,54999,504,STAR,-0.0006290463,19.80984
5215294907024168960,4632,55644,460,GALAXY,0.3527139,5.363847
1137204305208567808,1010,52649,165,STAR,9.463645e-05,7.112478
1163116223764916224,1033,52822,224,GALAXY,0.1443397,10.45206
1685489526270617600,1497,52886,63,STAR,-4.098068e-05,7.740344
3151533275634231296,2799,54368,507,STAR,-0.0001022461,41.51934
323293561023916032,287,52023,583,QSO,1.178098,7.340194
1338841269044013056,1189,52668,532,QSO,0.2926218,6.493596
4946199336763807744,4393,55944,440,STAR,-0.0002079949,20.9866
3626542373242249216,3221,54864,68,STAR,0.0001125002,34.71106
3256200188615747584,2892,54552,355,STAR,0.0003113863,25.64301
8615460431350487040,7652,57579,270,QSO,0.5630171,9.148943
7283532090561550336,6469,56328,311,QSO,2.207652,14.50946
2483903208565532672,2206,53795,611,GALAXY,0.07724907,10.67618
824159868582651904,732,52221,4,STAR,3.907824e-05,11.76288
5843650141521991680,5190,56077,835,GALAXY,0.02601343,40.12662
4330426635369338880,3846,55327,784,QSO,2.784328,9.263496
914344563269724160,812,52352,414,QSO,1.550147,8.218742
537104592211568640,477,52026,183,STAR,0.0005083161,34.90246
332147377769048064,295,51985,25,GALAXY,0.2018722,8.849982
